"Date","Index","Type","Value"
2012-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64
2012-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.6
2012-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.6
2012-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.7
2012-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.1
2012-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.4
2012-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.8
2012-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.1
2012-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.8
2013-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.9
2013-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.6
2013-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",63.2
2013-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",61.8
2013-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62
2013-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.5
2013-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.6
2013-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.1
2013-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.9
2013-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.8
2013-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.2
2013-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53
2014-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.6
2014-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.5
2014-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",65.6
2014-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",67.3
2014-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",66.9
2014-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.8
2014-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.7
2014-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",61.8
2014-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.2
2014-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.5
2014-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.5
2014-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.4
2015-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.5
2015-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.5
2015-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",61.7
2015-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.2
2015-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.7
2015-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.7
2015-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.7
2015-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.8
2015-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.3
2015-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",52.7
2015-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.1
2015-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",48
2016-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",48.9
2016-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",52.2
2016-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.1
2016-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.7
2016-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.3
2016-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.5
2016-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.6
2016-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.7
2016-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.3
2016-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50
2016-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50.1
2016-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.1
2017-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.3
2017-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.8
2017-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",63.7
2017-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",66.4
2017-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",64.4
2017-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.9
2017-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.8
2017-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.9
2017-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.6
2017-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.1
2017-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.8
2017-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.4
2018-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.7
2018-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.6
2018-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.2
2018-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.1
2018-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",62.1
2018-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.6
2018-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",54.3
2018-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.6
2018-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.4
2018-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.5
2018-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.1
2018-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",45.9
2019-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50.6
2019-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.5
2019-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.7
2019-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.8
2019-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.7
2019-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",59.4
2019-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55
2019-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.8
2019-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.5
2019-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.2
2019-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",48.8
2019-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",47.7
2020-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50.4
2020-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.1
2020-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51
2020-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",15
2020-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",10.1
2020-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",18.1
2020-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",27.1
2020-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",30.7
2020-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",33.9
2020-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",40.8
2020-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",40.9
2020-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",39.7
2020-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",35.6
2020-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",35.2
2020-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",31.5
2021-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",31.6
2021-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",42
2021-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",52.2
2021-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",50.8
2021-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",51.4
2021-06-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",56.8
2021-07-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",57.1
2021-08-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",55.9
2021-09-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",43.2
2021-10-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",45.5
2021-11-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",49.8
2021-12-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",45.1
2022-01-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",37.2
2022-02-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",53.8
2022-03-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.1
2022-04-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",60.8
2022-05-01,"CFIB Business Barometer Index","Canada - outlook on 3 months",58.8
2000-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",72.1
2001-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.1
2001-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.7
2001-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",53.3
2001-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.7
2002-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",74.1
2002-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",71.9
2002-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",70.5
2002-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",71
2003-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",70
2003-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.2
2003-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.4
2003-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",70.7
2004-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.5
2004-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.2
2004-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.9
2004-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.9
2005-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",71.1
2005-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.6
2005-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.2
2005-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.9
2006-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.1
2006-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.5
2006-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.1
2006-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.4
2007-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.4
2007-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.3
2007-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.1
2007-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.9
2008-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.8
2008-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.7
2008-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.9
2008-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",45.2
2008-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",44.5
2008-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",39.4
2009-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",39.4
2009-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",45
2009-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",43.1
2009-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",55
2009-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.3
2009-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.5
2009-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.6
2009-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.7
2009-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.7
2009-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67
2009-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68
2009-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.8
2010-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67
2010-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.5
2010-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.7
2010-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.2
2010-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.3
2010-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.4
2010-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.7
2010-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.9
2010-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.6
2010-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67
2010-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.2
2010-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.3
2011-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",68.8
2011-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.2
2011-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",69.2
2011-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",70.6
2011-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.6
2011-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.2
2011-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.9
2011-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.9
2011-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.9
2011-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.4
2011-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.7
2011-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.2
2012-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.1
2012-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66
2012-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.7
2012-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.5
2012-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.8
2012-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62
2012-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.9
2012-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60
2012-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.1
2012-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.3
2012-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.7
2012-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.5
2013-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.4
2013-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66.3
2013-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.8
2013-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.4
2013-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.1
2013-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.6
2013-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.5
2013-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.8
2013-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.5
2013-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65
2013-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.7
2013-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.8
2014-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.9
2014-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.6
2014-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.1
2014-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.9
2014-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.1
2014-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.5
2014-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63
2014-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.4
2014-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.7
2014-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",67.6
2014-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",65.9
2014-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.9
2015-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",63.5
2015-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.1
2015-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.5
2015-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.5
2015-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.6
2015-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.4
2015-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.2
2015-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.7
2015-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56
2015-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.9
2015-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.7
2015-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",55.7
2016-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",54.3
2016-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",54.7
2016-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",52.3
2016-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.2
2016-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",58.2
2016-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60
2016-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",57.6
2016-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.8
2016-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59
2016-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",57.7
2016-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.4
2016-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.7
2017-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.1
2017-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.9
2017-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.9
2017-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",64.4
2017-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",66
2017-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.9
2017-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.7
2017-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.8
2017-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.9
2017-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",57.2
2017-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.3
2017-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.7
2018-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.7
2018-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.4
2018-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.7
2018-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.6
2018-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.5
2018-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",62.2
2018-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.8
2018-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.6
2018-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.4
2018-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.5
2018-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.2
2018-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",53.6
2019-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.1
2019-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59
2019-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",55.9
2019-04-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.7
2019-05-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.7
2019-06-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",61.5
2019-07-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",57.8
2019-08-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.6
2019-09-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.3
2019-10-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",59.8
2019-11-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",56.1
2019-12-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",55.5
2020-01-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",55.3
2020-02-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",60.5
2020-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",49.8
2020-03-01,"CFIB Business Barometer Index","Canada - outlook on 12 months",30.8
